,glycolysis_score,oxphos_score,metabolic_ratio,metabolic_label
TCGA-AC-A23C,-0.36498829401543736,-0.14727401834268322,-0.21771427567275414,Oxidative
TCGA-AC-A23E,0.5577921884556984,-0.4171544581721657,0.9749466466278641,Glycolytic
TCGA-AC-A23G,-0.1156273290630157,-0.41396871656211714,0.29834138749910144,Glycolytic
TCGA-AC-A23H,0.0060844489279737665,0.10229906792970765,-0.09621461900173389,Mixed
TCGA-AC-A2B8,-0.17706607357450507,-0.3750741137474468,0.19800804017294174,Glycolytic
TCGA-AC-A2BK,-0.032706904886667755,-0.7323342709279849,0.6996273660413171,Glycolytic
TCGA-AC-A2BM,-0.03928788598038713,-0.25600370414193285,0.21671581816154573,Glycolytic
TCGA-AC-A2FB,-0.24693344342007914,-0.3147070207352823,0.06777357731520314,Mixed
TCGA-AC-A2FE,-0.19758644139248105,-0.36581170080356873,0.16822525941108768,Mixed
TCGA-AC-A2FF,-0.2699864756208305,-0.36096192955671097,0.09097545393588047,Mixed
TCGA-AC-A2FG,-0.43940227800761755,-0.15883619455473008,-0.28056608345288747,Oxidative
TCGA-AC-A2FK,-0.5754928036242017,-1.1412112700326253,0.5657184664084236,Glycolytic
TCGA-AC-A2FM,-0.33419154026365167,0.07244977060269975,-0.4066413108663514,Oxidative
TCGA-AC-A2FO,-0.05797644406595251,-0.3657347986994688,0.3077583546335163,Glycolytic
TCGA-AC-A2QH,0.6211466064573856,-0.6791258258957379,1.3002724323531236,Glycolytic
TCGA-AC-A2QI,-0.35443374573666486,-0.3572126288544612,0.002778883117796338,Mixed
TCGA-AC-A2QJ,0.7381615254742492,1.3239588904668473,-0.5857973649925982,Oxidative
TCGA-AC-A3BB,0.07014682202050292,-0.03202629199968963,0.10217311402019255,Mixed
TCGA-AC-A3EH,0.05272245666550536,0.014041489766972204,0.038680966898533155,Mixed
TCGA-AC-A3HN,-0.1625382809080349,-0.32361336306553085,0.16107508215749594,Mixed
TCGA-AC-A3OD,-0.32426165729369005,-0.32830252816827027,0.004040870874580216,Mixed
TCGA-AC-A3QP,-0.0413145012785989,0.5733352657704034,-0.6146497670490023,Oxidative
TCGA-AC-A3QQ,0.18895718194789607,0.6850531733840672,-0.49609599143617117,Oxidative
TCGA-AC-A3TM,0.2643583872577084,1.0456513576641329,-0.7812929704064244,Oxidative
TCGA-AC-A3TN,-0.18916735704971532,0.5478516913862996,-0.737019048436015,Oxidative
TCGA-AC-A3W5,0.24970297976512001,0.10314895417269046,0.14655402559242955,Mixed
TCGA-AC-A3W6,-0.04463784904521673,-0.2263125747776927,0.18167472573247598,Mixed
TCGA-AC-A3W7,-0.29029808128962237,-0.45091900324443907,0.1606209219548167,Mixed
TCGA-AC-A3YI,-0.11132714220948142,-0.5403460499820204,0.429018907772539,Glycolytic
TCGA-AC-A3YJ,0.21725175970684235,0.8597421036483179,-0.6424903439414755,Oxidative
TCGA-AC-A4ZE,-0.4791236907696124,-0.258193946814359,-0.22092974395525344,Oxidative
TCGA-AC-A5EH,0.5946230317446988,0.7003154603463305,-0.10569242860163175,Mixed
